epoch,train_mse,validation_mse,best_validation_mse_so_far,improved,epochs_without_improvement,quantum_gradient_norm_last_batch,epoch_runtime_s
1,0.9876788311562106,0.701354098755909,0.701354098755909,True,0,0.0835808756114447,68.87999048699999
2,0.913575412200543,0.6387994283676085,0.6387994283676085,True,0,0.05911816161594673,40.3259967649999
3,0.7326258231536175,0.5647664364819378,0.5647664364819378,True,0,0.05759640360860348,40.36399201099994
4,0.507112308064933,0.5554536451753472,0.5554536451753472,True,0,0.09392551512526608,40.53266037499998
5,0.42046476630084517,0.5510115604303162,0.5510115604303162,True,0,0.09174763485622711,41.4068986960001
6,0.3934475580172407,0.5446447592331725,0.5446447592331725,True,0,0.045141989032549644,41.6311298239998
7,0.3824120537701295,0.5738363901370488,0.5446447592331725,False,1,0.2221716565187329,41.51746190099993
8,0.3715114650643101,0.5762032096070844,0.5446447592331725,False,2,0.1095274192161759,40.544954398999835
9,0.36460561802610375,0.5809747059869003,0.5446447592331725,False,3,0.17550286956185046,40.75242095199974
10,0.3589540708492661,0.5882175936258106,0.5446447592331725,False,4,0.04207738988777273,40.49669480300008
11,0.35054306135720986,0.5932900717032203,0.5446447592331725,False,5,0.045755667452599375,40.523994611000035
12,0.33351164346855067,0.5905121711629132,0.5446447592331725,False,6,0.074216898883468,40.629098247
13,0.31092537511165624,0.7140957763331919,0.5446447592331725,False,7,0.1745479201980463,40.512443509999684
14,0.2989267657785515,0.7923928103112872,0.5446447592331725,False,8,0.2031838299810096,40.70355942399965
15,0.2895659884522053,0.808523245961495,0.5446447592331725,False,9,0.08066584027017906,41.684503714999664
16,0.28407496556845796,0.8188876446257565,0.5446447592331725,False,10,0.11576960653360074,40.792436109999926
17,0.2815534049438965,0.7706649169862858,0.5446447592331725,False,11,0.10423779123878042,40.63907604100041
18,0.2788607099550316,0.7627894725608325,0.5446447592331725,False,12,0.08340740608888687,40.47900796700014
