section_index,orientation,page_width_twips,page_height_twips,top_margin_twips,bottom_margin_twips,left_margin_twips,right_margin_twips
0,PORTRAIT (0),11906,16838,1701,1134,1134,1134
1,PORTRAIT (0),11906,16838,1701,1134,1134,1134
2,PORTRAIT (0),11906,16838,1701,1134,1134,1134
3,LANDSCAPE (1),16838,11906,1134,1134,1701,1134
4,PORTRAIT (0),11906,16838,1701,1134,1134,1134
