section,expected_elements,actual_elements,donor_subtree_exact,expected_math,actual_math,tables,drawings
3.1,4,4,True,0,0,0,0
3.2,3,3,True,0,0,0,0
3.3,4,4,True,0,0,0,0
3.4,5,5,True,3,3,0,0
3.5,4,4,True,2,2,0,0
3.6,4,4,True,2,2,0,0
3.7,6,6,True,4,4,0,0
3.8,4,4,True,3,3,0,0
3.9,13,13,True,5,5,0,0
3.10,7,7,True,2,2,0,0
3.11,4,4,True,0,0,0,0
3.12,5,5,True,2,2,0,0
