block,title,body_start_index,body_end_index,body_paragraph_count,explicit_numbered_items,source
BAB V,KESIMPULAN DAN SARAN,466,466,0,0,Heading1 clone from final-frozen Bab IV
5.1,Kesimpulan,467,474,7,4,Cell187 frozen Bab V via numbering-independent donor
5.2,Saran,475,482,7,6,Cell187 frozen Bab V via numbering-independent donor
