epoch,train_mse,validation_mse
1,0.8292085116250174,0.5448315107822418
2,0.6852951829774039,0.5207576203346252
3,0.4392109440054212,0.5198184651136398
4,0.359232531956264,0.5667856973409653
5,0.32800070200647624,0.5849106803536415
6,0.29112401161875046,0.5933810902759433
7,0.2716991640840258,0.8216350734978914
8,0.268757598570415,0.8532343243900686
9,0.2667290001256125,0.9526200818829238
10,0.26732049805777414,0.968583834823221
11,0.26627060277121406,0.840500517366454
12,0.2666991678306035,0.8560695035755634
13,0.2656081252438681,0.9856810500496067
14,0.26737550377845765,0.8437330039637163
15,0.2653404783351081,0.9197349534055683
