run_id,scenario_id,family_key,controller,update_count,requested_kp_mean,requested_ki_mean,applied_kp_post_mean,applied_ki_post_mean,clip_fraction,rate_limit_fraction,fallback_fraction
CLR01,CL01,D40_L-20,FIXED_PI,0,,,2.16,5.720000000000001,0.0,0.0,0.0
CLR02,CL01,D40_L-20,LSTM_PI,74,2.5508444710940226,2.8406901105938833,2.5395483717679905,3.0996782405864707,1.0,0.04054054054054054,0.0
CLR03,CL01,D40_L-20,QLSTM_PI,74,2.692603662219988,4.794051636051191,2.6777061523433,4.8183423002964965,0.08108108108108109,0.17567567567567569,0.0
CLR04,CL02,D20_L+10,FIXED_PI,0,,,2.16,5.720000000000001,0.0,0.0,0.0
CLR05,CL02,D20_L+10,LSTM_PI,74,2.9674829936357123,8.24026273473286,2.9275899474619567,8.187257792406585,0.0,0.08108108108108109,0.0
CLR06,CL02,D20_L+10,QLSTM_PI,74,3.319718162127618,13.665989509658646,3.2606953558610656,13.20769943012426,0.6891891891891891,0.10810810810810811,0.0
CLR07,CL03,D20_L+20,FIXED_PI,0,,,2.16,5.720000000000001,0.0,0.0,0.0
CLR08,CL03,D20_L+20,LSTM_PI,74,2.9553306722197754,9.195188872281637,2.9266306581534836,9.131958673761723,0.0,0.06756756756756757,0.0
CLR09,CL03,D20_L+20,QLSTM_PI,74,2.989921594375348,9.142082067808945,2.8920941102053446,8.525867732034403,0.13513513513513514,0.12162162162162163,0.0
CLR10,CL04,D30_L+20,FIXED_PI,0,,,2.16,5.720000000000001,0.0,0.0,0.0
CLR11,CL04,D30_L+20,LSTM_PI,74,2.964370023199749,8.25482289032684,2.9280785454512377,8.214201064879537,0.0,0.08108108108108109,0.0
CLR12,CL04,D30_L+20,QLSTM_PI,74,3.317567727203131,13.656004587988008,3.25883540339039,13.389196493155877,0.6351351351351351,0.17567567567567569,0.0
