scenario_id,family_key,native_dataset_scenario_id,output_bias,output_bias_ok,initial_duty_ok,initial_equilibrium_ok,event_profile_ok,rk4_row_count_ok,rk4_grid_ok,all_numeric_finite,actuator_domain_ok,initial_result_ok,pre_event_output_ok,event_output_ok,feature_reconstruction_ok,structural_smoke_ok
CL01,D40_L-20,S065,0.4,True,True,True,True,True,True,True,True,True,True,True,True,True
CL02,D20_L+10,S053,0.2,True,True,True,True,True,True,True,True,True,True,True,True,True
CL03,D20_L+20,S055,0.2,True,True,True,True,True,True,True,True,True,True,True,True,True
CL04,D30_L+20,S063,0.3,True,True,True,True,True,True,True,True,True,True,True,True,True
