controller,mean_duty_total_variation,mean_gain_clip_fraction,mean_gain_rate_limit_fraction,mean_fallback_fraction,mean_post_kp,mean_post_ki
FIXED_PI,0.32213614422110026,0.0,0.0,0.0,2.16,5.720000000000001
LSTM_PI,0.37053701939293265,0.5,0.06081081081081075,0.0,2.733569159614974,5.643468016496528
QLSTM_PI,2.062963876401314,0.3851351351351351,0.14189189189189186,0.0,2.9692007541021828,9.013020865210379
