run_id,scenario_id,family_key,evaluation_role,controller,primary_claim,stress_only,diagnostic_only,frequency_deviation_rmse_hz,peak_abs_frequency_deviation_hz,final_abs_frequency_error_hz,max_abs_rocof_hz_per_s,settling_time_s,avoidable_saturation_fraction,dump_duty_total_variation,logger_settling_time_s,lower_boundary_fraction,upper_boundary_fraction,saturation_fraction,required_boundary,stable_45_55_hz,scheduler_update_count,first_gain_update_s,last_gain_update_s,gain_clip_fraction,gain_rate_limit_fraction,fallback_fraction,post_mean_kp,post_mean_ki,post_min_kp,post_max_kp,post_min_ki,post_max_ki,required_final_dump_power_kw,required_final_duty,rows_ok,all_numeric_finite,gain_bounds_ok,actuator_domain_ok,pre_adaptive_fixed_gain_ok,update_contract_ok,run_structure_ok,simulation_runtime_s,rmse_improvement_vs_fixed_pct,primary_metric_rank_within_scenario
CLR01,CL01,D40_L-20,PRIMARY_INDEPENDENT,FIXED_PI,True,False,False,0.016637861488698245,0.11466400507520547,2.5437429940211587e-11,2.000000000000001,0.22999999999999998,0.0,0.429514858961507,0.22750000000000004,0.0,0.0,0.0,INTERIOR,True,0,,,0.0,0.0,0.0,2.16,5.720000000000001,2.16,2.16,5.72,5.72,60.0,0.6,True,True,True,True,True,True,True,0.7784424510000463,0.0,1
CLR02,CL01,D40_L-20,PRIMARY_INDEPENDENT,LSTM_PI,True,False,False,0.02016035205165411,0.11466400507520547,7.779531721041621e-06,2.000000000000001,0.2400000000000002,0.0,0.4680539735930469,0.23750000000000027,0.0,0.0,0.0,INTERIOR,True,74,2.6,9.9,1.0,0.04054054054054054,0.0,2.5395483717679905,3.0996782405864707,2.16,2.554520561917569,3.0368,5.72,60.0,0.6,True,True,True,True,True,True,True,0.9749702379995142,-21.171534366652953,2
CLR03,CL01,D40_L-20,PRIMARY_INDEPENDENT,QLSTM_PI,True,False,False,0.023912539523723693,0.11466400507520547,0.014144633874323631,2.000000000000001,0.23750000000000027,0.0,3.702122384896186,0.23499999999999988,0.0,0.0,0.0,INTERIOR,True,74,2.6,9.9,0.08108108108108109,0.17567567567567569,0.0,2.6777061523433,4.8183423002964965,2.16,2.8482982319401042,3.0368,6.908266591381711,60.0,0.6,True,True,True,True,True,True,True,48.60710624100011,-43.72363623754763,3
CLR04,CL02,D20_L+10,PRIMARY_INDEPENDENT,FIXED_PI,True,False,False,0.008318930744349126,0.05733200253759918,1.2718714970105793e-11,0.9999999999999998,0.14749999999999996,0.0,0.21475742948069354,0.14500000000000002,0.0,0.0,0.0,INTERIOR,True,0,,,0.0,0.0,0.0,2.16,5.720000000000001,2.16,2.16,5.72,5.72,10.0,0.1,True,True,True,True,True,True,True,1.1226099310006248,0.0,2
CLR05,CL02,D20_L+10,PRIMARY_INDEPENDENT,LSTM_PI,True,False,False,0.007459542453304937,0.05733200253759918,5.484324105964333e-10,0.9999999999999998,0.14250000000000007,0.0,0.2730200651928184,0.14000000000000012,0.0,0.0,0.0,INTERIOR,True,74,2.6,9.9,0.0,0.08108108108108109,0.0,2.9275899474619567,8.187257792406585,2.16,2.977839395271705,5.72,8.673142123992626,10.0,0.1,True,True,True,True,True,True,True,1.6675315219999902,10.330513829892778,1
CLR06,CL02,D20_L+10,PRIMARY_INDEPENDENT,QLSTM_PI,True,False,False,0.008387717869438573,0.05733200253759918,2.1316282072803006e-14,0.9999999999999998,0.14500000000000002,0.0,0.42380536790644213,0.14250000000000007,0.0,0.0,0.0,INTERIOR,True,74,2.6,9.9,0.6891891891891891,0.10810810810810811,0.0,3.2606953558610656,13.20769943012426,2.16,3.3563264534589945,4.60928,14.144,10.0,0.1,True,True,True,True,True,True,True,30.80072819199995,-0.8268745972692716,3
CLR07,CL03,D20_L+20,BOUNDARY_STRESS,FIXED_PI,False,True,False,0.059776619767454485,0.13665056562597755,0.007596151508437288,2.000000000000001,2.7750000000000004,0.0,0.20005315742960894,2.7725,0.9930023325558147,0.0,0.9930023325558147,LOWER,True,0,,,0.0,0.0,0.0,2.16,5.720000000000001,2.16,2.16,5.72,5.72,0.0,0.0,True,True,True,True,True,True,True,0.3930690200004392,0.0,2
CLR08,CL03,D20_L+20,BOUNDARY_STRESS,LSTM_PI,False,True,False,0.059768281505451035,0.13665056562597755,0.0076183540506846725,2.000000000000001,2.7725,0.0,0.20145476852111122,2.7700000000000005,0.9930023325558147,0.0,0.9930023325558147,LOWER,True,74,2.6,9.9,0.0,0.06756756756756757,0.0,2.9266306581534836,9.131958673761723,2.16,3.0212078732244247,5.72,9.408859285118652,0.0,0.0,True,True,True,True,True,True,True,0.48011327699987305,0.013949035652882578,1
CLR09,CL03,D20_L+20,BOUNDARY_STRESS,QLSTM_PI,False,True,False,0.06013099326431282,0.13665056562597755,0.007969383274108566,2.000000000000001,2.8449999999999998,0.0,0.27865287312476844,2.8425000000000002,0.9650116627790737,0.0,0.9650116627790737,LOWER,True,74,2.6,9.9,0.13513513513513514,0.12162162162162163,0.0,2.8920941102053446,8.525867732034403,2.16,3.36,3.9771783606015427,14.144,0.0,0.0,True,True,True,True,True,True,True,25.497988473999612,-0.592829601668572,3
CLR10,CL04,D30_L+20,IN_DISTRIBUTION_DIAGNOSTIC,FIXED_PI,False,False,True,0.01663786148870106,0.11466400507522678,2.5430324512853986e-11,2.000000000000001,0.22999999999999998,0.0,0.42951485896173003,0.22750000000000004,0.0,0.0,0.0,INTERIOR,True,0,,,0.0,0.0,0.0,2.16,5.720000000000001,2.16,2.16,5.72,5.72,10.0,0.1,True,True,True,True,True,True,True,0.40477211400047963,0.0,3
