test_type,train_sample_index,scheduler,requested_kp,requested_ki,bounded_kp,bounded_ki,applied_kp,applied_ki,fallback_used,clipped,rate_limited,safe
TRAIN_MODEL_INFERENCE,0.0,LSTM_PI,2.8364165748639714,5.705654933707065,2.8364165748639714,5.705654933707065,2.2800000000000002,5.705654933707065,False,False,True,True
TRAIN_MODEL_INFERENCE,0.0,QLSTM_PI,2.7200649673649804,5.784603874291788,2.7200649673649804,5.784603874291788,2.2800000000000002,5.784603874291788,False,False,True,True
TRAIN_MODEL_INFERENCE,1000.0,LSTM_PI,2.847949697813664,6.302885976589906,2.847949697813664,6.302885976589906,2.2800000000000002,6.302885976589906,False,False,True,True
TRAIN_MODEL_INFERENCE,1000.0,QLSTM_PI,2.610719182024242,4.6051880889863455,2.610719182024242,4.6051880889863455,2.2800000000000002,4.60928,False,False,True,True
IN_RANGE_TARGET,,SAFETY_LAYER,2.88,3.0368,2.88,3.0368,2.2800000000000002,4.60928,False,False,True,True
EXTREME_OUT_OF_RANGE,,SAFETY_LAYER,100.0,-100.0,3.36,3.0368,2.2800000000000002,4.60928,False,True,True,True
NONFINITE_OUTPUT,,SAFETY_LAYER,,inf,2.16,5.72,2.16,5.72,True,False,False,True
