temporal_region,windows,delta_f_range_median_hz,delta_f_range_p95_hz,Pe_range_median_kw,Pe_range_p95_kw,Pdump_range_median_kw,Pdump_range_p95_kw
A_END_WITHIN_E99,300,0.05733200054655269,0.11466400109310639,12.868301885517724,25.736603340719746,12.868301413882563,25.73660282776512
B_HISTORY_OVERLAPS_E99,200,0.011009442469025413,0.022470614923895994,0.32186424667406044,0.8524045103868966,0.3218642866923016,0.8524042431187998
C_FULLY_POST_E99_HISTORY,2700,2.6615764362894676e-07,0.001991790409779072,6.885054446570393e-06,0.05101050778536376,6.594234903900542e-06,0.051010342268131836
