model,runs,validation_mse_mean,validation_mse_std,validation_mse_median,validation_mse_min,validation_mse_max,best_epoch_median
LSTM,5,0.4991619627475738,0.016885147550958504,0.49409874856472014,0.4799818336963654,0.5170130610466004,2.0
ENDPOINT_MLP,5,0.5258254733085632,0.004791921478036653,0.5247725993394852,0.5198184651136398,0.5320977061986923,2.0
