temporal_region,windows,scenarios,families,minimum_endpoint_s,maximum_endpoint_s,fraction_percent
A_END_WITHIN_E99,300,20,2,0.05,0.75,9.375
B_HISTORY_OVERLAPS_E99,200,20,2,0.8000000000000003,1.25,6.25
C_FULLY_POST_E99_HISTORY,2700,20,2,1.2999999999999998,8.5,84.375
