family_key,gain_regime,windows,original_mse,endpoint_repeated_mse,endpoint_repeat_mse_change_pct
D20_L-20,G1,1600,0.8341991901397705,0.8279604315757751,-0.7478739655633152
D40_L+10,G2,1600,0.19982697069644928,0.20327983796596527,1.7279285461226006
