rank_dt0025,kp,r_rob,ki,score_dt005,score_dt0025,score_dt00125,stable_dt00125,result_rows_dt00125,residual_005_to_0025,residual_0025_to_00125,residual_contraction_factor,rank_dt00125
3,3.36,0.55,19.448,0.2626823483409027,0.2627981074075393,0.26274082132123855,True,8001,0.0001157590666365782,5.728608630073406e-05,0.4948734294876604,1
1,4.08,0.55,23.566400000000005,0.2626782615986047,0.2627310362302362,0.26279498186871564,True,8001,5.277463163150253e-05,6.394563847944568e-05,1.2116738005097678,2
2,4.08,0.7,29.9936,0.2627046206499351,0.2627606726179314,0.26279759838071576,True,8001,5.605196799629564e-05,3.6925762784356664e-05,0.6587772758807865,3
4,3.12,0.55,18.0752,0.2631362531255385,0.2631368673642857,0.2632241314032468,True,8001,6.1423874719857e-07,8.726403896108792e-05,142.06860013159894,4
6,4.8,0.7,35.2352,0.2631614613947861,0.263519290689597,0.26338334598253976,True,8001,0.0003578292948109296,0.00013594470705724504,0.37991497350454695,5
5,4.08,0.8,34.278400000000005,0.2629395304585782,0.2635065546223687,0.26368312393530785,True,8001,0.0005670241637905082,0.00017656931293913436,0.31139645224073614,6
7,3.36,0.4,14.144,0.2637327939097021,0.2637058915352261,0.2637233078479635,True,8001,2.690237447600108e-05,1.7416312737383866e-05,0.6473894247855524,7
8,3.36,0.7,24.752,0.2633843372273121,0.2637747925127441,0.26380931854734313,True,8001,0.0003904552854320231,3.4526034599025035e-05,0.0884250665497417,8
9,4.8,0.8,40.2688,0.2636191027148581,0.2638096598476157,0.2638149667755638,True,8001,0.0001905571327575628,5.306927948145468e-06,0.02784953715113478,9
10,3.12,0.4,13.145600000000002,0.2638449132620388,0.2638450182408153,0.26388345319568685,True,8001,1.0497877650506027e-07,3.84349548715468e-05,366.1211927888503,10
11,2.88,0.55,16.7024,0.2637605933074394,0.2639067600667745,0.2639219689293499,True,8001,0.00014616675933509793,1.5208862575388782e-05,0.10405144538041894,11
12,4.8,0.55,27.684800000000003,0.2638514490047452,0.2639511680030658,0.2640239593552324,True,8001,9.971899832056375e-05,7.279135216659016e-05,0.7299647348300665,12
13,4.08,0.4,17.139200000000002,0.2641707908434956,0.2640943248928732,0.2641627343879695,True,8001,7.646595062238415e-05,6.84094950962888e-05,0.8946399611785254,13
14,2.88,0.4,12.1472,0.2643068604010301,0.2642873469718413,0.2643219214911478,True,8001,1.951342918876664e-05,3.457451930649613e-05,1.7718320533020284,14
15,3.12,0.7,23.004800000000003,0.2644730907883445,0.2644203043872901,0.26459350926730335,True,8001,5.278640105443877e-05,0.00017320488001326684,3.281240557291264,15
17,2.64,0.55,15.329600000000005,0.2646068316371832,0.2648545835634584,0.26497560131751036,True,8001,0.00024775192627524145,0.00012101775405193305,0.4884634233579587,16
18,2.64,0.4,11.1488,0.265007714141333,0.264982272746826,0.26504197837207305,True,8001,2.544139450699756e-05,5.9705625247041816e-05,2.3467905908467404,17
16,4.8,0.9,45.3024,0.2638168522595521,0.2645940547450293,0.2651407082625757,True,8001,0.0007772024854771908,0.0005466535175464027,0.7033604855377753,18
20,4.8,0.4,20.1344,0.2654103773435027,0.2653765730263978,0.2653840481239054,True,8001,3.380431710492404e-05,7.475097507647632e-06,0.22112848735994098,19
19,4.08,0.9,38.56320000000001,0.2654185271881707,0.2652635229656809,0.26562671828342316,True,8001,0.0001550042224898185,0.00036319531774225977,2.3431317670466454,20
